,Date,Clinic #0,Clinic #1,Clinic #2,Clinic #3,Clinic #4,Clinic #5,Clinic #6,Clinic #7,Clinic #8,Clinic #9,Clinic #10,Clinic #11,Clinic #12,Clinic #13,Clinic #14,Clinic #15,Clinic #16,Clinic #17,Clinic #18,Clinic #19,Clinic #20,Clinic #21,Clinic #22,Clinic #23,Clinic #24,Clinic #25,Clinic #26,Clinic #27,Clinic #28,Clinic #29,Clinic #30,Clinic #31,Clinic #32,Clinic #33,Clinic #34,Clinic #35,Clinic #36,Clinic #37,Clinic #38,Clinic #39,Clinic #40,Clinic #41,Clinic #42,Clinic #43,Clinic #44,Clinic #45,Clinic #46,Clinic #47,Clinic #48,Clinic #49,Clinic #50,Clinic #51,Clinic #52,Clinic #53,Clinic #54,Clinic #55,Clinic #56,Clinic #57
11,2024-08-16,26.0,53.0,61.0,45.0,26.0,30.0,23.0,16.0,31.0,17.0,12.0,50.0,20.0,14.0,46.0,19.0,30.0,17.0,84.0,23.0,22.0,23.0,15.0,6.0,79.0,27.0,10.0,24.0,39.0,28.0,65.0,151.0,16.0,8.0,52.0,14.0,15.0,17.0,65.0,6.0,34.0,14.0,5.0,48.0,60.0,14.0,512.0,19.0,34.0,168.0,34.0,18.0,19.0,23.0,242.0,332.0,11.0,881.0
12,2024-08-17,3.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,16.0,7.0,5.0,2.0,31.0,4.0,1.0,7.0,4.0,5.0,41.0,0.0,4.0,17.0,4.0,4.0,7.0,115.0,0.0,2.0,16.0,3.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,16.0,6.0,4.0,18.0,10.0,0.0,5.0,8.0,15.0,0.0,0.0,127.0
13,2024-08-18,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,17.0,7.0,12.0,4.0,27.0,9.0,0.0,4.0,2.0,2.0,39.0,0.0,1.0,16.0,6.0,4.0,0.0,0.0,0.0,10.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,6.0,9.0,10.0,0.0,2.0,8.0,11.0,0.0,0.0,140.0
14,2024-08-19,34.0,44.0,71.0,39.0,41.0,25.0,19.0,19.0,30.0,17.0,26.0,64.0,14.0,35.0,44.0,25.0,44.0,22.0,83.0,27.0,27.0,33.0,25.0,27.0,78.0,29.0,14.0,18.0,36.0,22.0,52.0,167.0,16.0,20.0,76.0,16.0,19.0,34.0,100.0,15.0,73.0,16.0,19.0,90.0,89.0,23.0,574.0,23.0,54.0,239.0,61.0,17.0,15.0,13.0,217.0,412.0,13.0,1248.0
15,2024-08-20,44.0,33.0,82.0,44.0,36.0,40.0,30.0,11.0,28.0,14.0,12.0,61.0,14.0,14.0,43.0,26.0,32.0,26.0,80.0,25.0,35.0,46.0,33.0,16.0,112.0,27.0,19.0,24.0,28.0,10.0,82.0,148.0,35.0,17.0,76.0,9.0,26.0,23.0,68.0,18.0,47.0,20.0,20.0,74.0,92.0,23.0,587.0,13.0,48.0,224.0,39.0,8.0,19.0,25.0,252.0,366.0,19.0,1439.0
16,2024-08-21,38.0,37.0,85.0,53.0,39.0,59.0,21.0,16.0,34.0,8.0,23.0,61.0,27.0,22.0,44.0,16.0,22.0,46.0,78.0,25.0,23.0,48.0,16.0,17.0,114.0,24.0,20.0,20.0,31.0,28.0,73.0,122.0,16.0,20.0,82.0,8.0,14.0,18.0,56.0,15.0,83.0,17.0,11.0,99.0,58.0,14.0,605.0,21.0,39.0,234.0,27.0,9.0,15.0,34.0,205.0,445.0,12.0,1120.0
17,2024-08-22,26.0,34.0,79.0,15.0,38.0,30.0,20.0,17.0,34.0,10.0,24.0,56.0,19.0,11.0,27.0,18.0,31.0,19.0,78.0,20.0,12.0,32.0,19.0,19.0,109.0,19.0,15.0,17.0,26.0,9.0,50.0,120.0,12.0,18.0,65.0,10.0,18.0,26.0,64.0,12.0,63.0,9.0,14.0,64.0,92.0,14.0,549.0,19.0,30.0,207.0,38.0,12.0,11.0,34.0,280.0,378.0,18.0,1072.0
18,2024-08-23,15.0,50.0,53.0,43.0,24.0,37.0,21.0,20.0,27.0,9.0,10.0,56.0,24.0,13.0,43.0,25.0,27.0,20.0,92.0,24.0,47.0,32.0,16.0,3.0,84.0,19.0,21.0,16.0,22.0,30.0,72.0,103.0,21.0,14.0,61.0,16.0,18.0,12.0,51.0,10.0,45.0,12.0,10.0,50.0,74.0,11.0,418.0,17.0,31.0,149.0,47.0,7.0,18.0,14.0,213.0,337.0,5.0,905.0
19,2024-08-24,2.0,3.0,7.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,0.0,4.0,8.0,1.0,12.0,5.0,6.0,6.0,26.0,5.0,11.0,2.0,8.0,2.0,38.0,1.0,1.0,16.0,7.0,1.0,16.0,108.0,0.0,1.0,15.0,4.0,7.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,19.0,5.0,5.0,18.0,9.0,5.0,0.0,6.0,43.0,53.0,0.0,177.0
20,2024-08-25,3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,16.0,3.0,6.0,2.0,23.0,9.0,0.0,4.0,9.0,1.0,44.0,0.0,1.0,21.0,3.0,4.0,0.0,0.0,0.0,5.0,14.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,1.0,0.0,2.0,15.0,7.0,3.0,3.0,4.0,9.0,0.0,0.0,114.0
